dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
SI216,pca10,45,86,2.6206060606060606,3.2395996759794348,-0.4697867283950614
SI216,regular,46,87,2.859393939393939,3.301546010675311,-3.2003978768577497
SI216,pca10,46,87,1.8048484848484847,2.3764994203553877,-1.1763620665251238
SI216,regular,47,88,3.005151515151515,3.6718865049250238,-0.5962943357251571
SI216,pca10,47,88,2.9372727272727275,3.6855827493111866,-0.6082249945640354
SI216,regular,48,89,1.7478787878787878,2.4736882045507134,-0.3035477699530513
SI216,pca10,48,89,2.247878787878788,2.8685078653783354,-0.7528676447574334
SI216,regular,49,90,3.2409090909090916,3.6300205915324364,-0.7218390808735304
SI216,pca10,49,90,3.1709090909090913,3.693272070381301,-0.7823664026877846
SI216,regular,50,91,1.8790909090909091,2.3337084114119633,0.25621942563330846
SI216,pca10,50,91,2.070909090909091,2.494840332131153,0.14996430900426394
SI216,regular,51,92,1.6209090909090909,1.9747443256065205,0.07841126302083334
SI216,pca10,51,92,1.6884848484848483,2.2063640733665024,-0.1504553385416667
SI216,regular,52,93,2.5945454545454543,3.1116658957003476,-0.7279914782038674
SI216,pca10,52,93,2.710606060606061,3.1457370545170518,-0.766039904949197
SI216,regular,53,94,2.63030303030303,3.4238557035581794,-0.13476586666666646
SI216,pca10,53,94,2.828181818181818,3.448116013188077,-0.15090399111111097
SI216,regular,54,95,2.70969696969697,3.3825129621915626,0.0011481481481482314
SI216,pca10,54,95,2.566060606060606,3.2685439874628885,0.06732398589065247
SI216,regular,55,96,2.3924242424242426,3.0196573154962967,-0.5539689671361498
SI216,pca10,55,96,2.1303030303030304,2.754926532962395,-0.2934423161189359
SI216,regular,56,97,2.2018181818181817,2.5983390187898223,0.09633269419862323
SI216,pca10,56,97,2.2881818181818185,2.763279598848828,-0.022036959193707073
SI216,regular,57,98,2.3230303030303032,2.8563751132998596,-0.4433104288499019
SI216,pca10,57,98,2.1706060606060604,2.655435249377465,-0.2473855263157887
SI216,regular,58,99,2.5106060606060603,2.9490256908430834,-0.05230705555555559
SI216,pca10,58,99,2.3784848484848484,2.7836000598019273,0.06244005555555565
SI216,regular,59,100,3.5733333333333337,4.051498288761626,-0.9941478357875948
SI216,pca10,59,100,2.838787878787879,3.318578252228146,-0.33792003569834894
SI216,regular,60,101,2.0603030303030305,2.474586997476712,-0.03774968876439466
SI216,pca10,60,101,2.2790909090909093,2.857623686091843,-0.3838761749144104
SI216,regular,61,102,2.534545454545454,3.02736709289632,-0.22672470501474917
SI216,pca10,61,102,3.238181818181818,3.667776966881694,-0.800622935103245
SI216,regular,62,103,2.084848484848485,2.3880121482526047,0.2532306878306879
SI216,pca10,62,103,1.8299999999999998,2.304160707428318,0.3047533068783067
SI216,regular,63,104,2.286969696969697,2.943080396832921,-0.05016872634157199
SI216,pca10,63,104,2.603030303030303,3.314112767294353,-0.33164785125807184
SI216,regular,64,105,3.1706060606060604,3.79948866841502,-0.15374492147365326
SI216,pca10,64,105,3.5548484848484847,4.195765662539972,-0.40696062674299127
SI216,regular,65,106,2.595151515151515,3.3355041416235536,0.018807482993197455
SI216,pca10,65,106,2.9706060606060603,3.593562566477996,-0.13888973922902492
SI216,regular,66,107,2.402424242424243,2.8082094658412506,0.24388994541292497
SI216,pca10,66,107,2.602727272727272,3.046569357241822,0.11008576333861586
SI216,regular,67,108,2.891818181818182,3.189256745051829,0.0896934993425379
SI216,pca10,67,108,3.0593939393939396,3.448255597641606,-0.06416158777120318
SI216,regular,68,109,3.348181818181818,4.054515253318693,-0.18259831549742334
SI216,pca10,68,109,3.2118181818181815,3.9282567393312027,-0.11009234377064336
SI216,regular,69,110,2.6424242424242426,3.0579616238483593,-0.42504615169325555
SI216,pca10,69,110,3.2796969696969698,3.526728962043606,-0.8954356143296947
SI216,regular,70,111,3.266969696969696,3.91865996988715,-1.464275081049219
SI216,pca10,70,111,2.973333333333333,3.591588939607526,-1.070080695549661
SI216,regular,71,112,1.8769696969696972,2.4013771301509723,0.26241007751937984
SI216,pca10,71,112,2.244545454545454,2.6156859771985497,0.12488436692506466
SI216,regular,72,113,2.9327272727272726,3.6240916660648095,-0.5611187513643314
SI216,pca10,72,113,3.016363636363636,3.5039123876321483,-0.459298275485702
SI216,regular,73,114,2.5887878787878793,2.961464113739975,-0.07192185185185185
SI216,pca10,73,114,2.5818181818181816,2.8972181014332916,-0.025917777777777706
SI216,regular,74,115,2.7403030303030302,3.236440400292653,-0.18894945799458007
SI216,pca10,74,115,2.7542424242424244,3.2477723523247826,-0.19728992078382324
