dataset,feature_space,run,seed,test_mae,test_rmse,test_r2
Combined,regular,28,69,2.806086956521739,3.454248381928834,-0.23812064862037374
Combined,pca10,28,69,2.873623188405797,3.563569832582325,-0.3177298635630528
Combined,regular,29,70,2.463478260869565,2.9960656971828485,-0.06516839639100747
Combined,pca10,29,70,2.5557971014492753,3.2107374956075874,-0.22327811923632912
Combined,regular,30,71,2.2437681159420295,2.9010406262194683,0.09473700239483074
Combined,pca10,30,71,2.3399999999999994,2.901471890340277,0.09446783245221646
Combined,regular,31,72,2.63,3.343334055803526,-0.3116903061224492
Combined,pca10,31,72,2.7466666666666666,3.365810767943419,-0.3293861678004535
Combined,regular,32,73,2.5665217391304354,3.102999094689283,0.07524851327362236
Combined,pca10,32,73,2.6046376811594203,3.07213391037647,0.09355381667070128
Combined,regular,33,74,1.7386956521739132,2.234096668164857,0.08638809304113793
Combined,pca10,33,74,1.7992753623188402,2.3161819949685354,0.018018758169934812
Combined,regular,34,75,3.3168115942028984,4.009384402252315,-0.5115110874116202
Combined,pca10,34,75,3.097246376811594,3.764205108202575,-0.3323014594936209
Combined,regular,35,76,2.0152173913043483,2.7334988461729752,-0.017163261279807607
Combined,pca10,35,76,2.294202898550725,2.858263551774218,-0.11213476868530892
Combined,regular,36,77,2.1842028985507245,2.793957506964742,-0.03236975833333333
Combined,pca10,36,77,2.4859420289855074,3.1061222854507693,-0.2759474249999998
Combined,regular,37,78,2.208260869565217,2.976230716084074,0.018052144453757912
Combined,pca10,37,78,2.3685507246376813,3.3170366118054786,-0.21970770466610778
Combined,regular,38,79,2.6092753623188405,3.1818207955318965,0.07470848114873674
Combined,pca10,38,79,2.909710144927536,3.5287234762702324,-0.13805277777777736
Combined,regular,39,80,2.065072463768116,2.6360876258224977,0.09009931518151826
Combined,pca10,39,80,2.4136231884057966,3.0626288792757626,-0.22818292079207914
Combined,regular,40,81,3.078550724637681,3.8280747800610078,-0.05584974121492814
Combined,pca10,40,81,3.6334782608695657,4.3320785808798385,-0.35217824238021733
Combined,regular,41,82,2.568985507246377,3.5043919993379964,-0.1920227115188584
Combined,pca10,41,82,2.838985507246377,3.648312229730874,-0.291942448521916
