pc,explained_variance_ratio,feature,loading,abs_loading
PC2,0.13827817833813846,speed_1s_stage4_col1_std_over_mean,-0.04834787050756131,0.04834787050756131
PC2,0.13827817833813846,speed_1s_stage4_col2_mean,0.007497935337145783,0.007497935337145783
PC2,0.13827817833813846,speed_1s_stage4_col2_std_over_mean,-0.011579450985496835,0.011579450985496835
PC2,0.13827817833813846,speed_1s_stage5_rows,0.2960751970180418,0.2960751970180418
PC2,0.13827817833813846,speed_1s_stage5_col1_mean,0.23585004758993594,0.23585004758993594
PC2,0.13827817833813846,speed_1s_stage5_col1_std_over_mean,-0.07448014735360407,0.07448014735360407
PC2,0.13827817833813846,speed_1s_stage5_col2_mean,-0.04063538100300649,0.04063538100300649
PC2,0.13827817833813846,speed_1s_stage5_col2_std_over_mean,0.024275298875685403,0.024275298875685403
PC2,0.13827817833813846,speed_10s_avg_rows,0.12241244501594475,0.12241244501594475
PC2,0.13827817833813846,speed_10s_avg_stage2_rows,-0.19342154068488215,0.19342154068488215
PC2,0.13827817833813846,speed_10s_avg_stage2_col1_mean,0.2189334674636213,0.2189334674636213
PC2,0.13827817833813846,speed_10s_avg_stage2_col1_std_over_mean,0.10879256152889238,0.10879256152889238
PC2,0.13827817833813846,speed_10s_avg_stage2_col2_mean,-0.05360484134021254,0.05360484134021254
PC2,0.13827817833813846,speed_10s_avg_stage2_col2_std_over_mean,0.11041211292124922,0.11041211292124922
PC2,0.13827817833813846,speed_10s_avg_stage3_rows,-0.2026117878050519,0.2026117878050519
PC2,0.13827817833813846,speed_10s_avg_stage3_col1_mean,0.2007224072103786,0.2007224072103786
PC2,0.13827817833813846,speed_10s_avg_stage3_col1_std_over_mean,0.017010361550383043,0.017010361550383043
PC2,0.13827817833813846,speed_10s_avg_stage3_col2_mean,-0.01530817771635983,0.01530817771635983
PC2,0.13827817833813846,speed_10s_avg_stage3_col2_std_over_mean,0.029787646881050765,0.029787646881050765
PC2,0.13827817833813846,speed_10s_avg_stage4_rows,0.06527722728962156,0.06527722728962156
PC2,0.13827817833813846,speed_10s_avg_stage4_col1_mean,0.20191484524775452,0.20191484524775452
PC2,0.13827817833813846,speed_10s_avg_stage4_col1_std_over_mean,0.02778718496645541,0.02778718496645541
PC2,0.13827817833813846,speed_10s_avg_stage4_col2_mean,0.007459332440830891,0.007459332440830891
PC2,0.13827817833813846,speed_10s_avg_stage4_col2_std_over_mean,0.02577389962671322,0.02577389962671322
PC2,0.13827817833813846,speed_10s_avg_stage5_rows,0.2960751970180418,0.2960751970180418
PC2,0.13827817833813846,speed_10s_avg_stage5_col1_mean,0.23590440167402132,0.23590440167402132
PC2,0.13827817833813846,speed_10s_avg_stage5_col1_std_over_mean,-0.0909584598369334,0.0909584598369334
PC2,0.13827817833813846,speed_10s_avg_stage5_col2_mean,-0.04056653348282829,0.04056653348282829
PC2,0.13827817833813846,speed_10s_avg_stage5_col2_std_over_mean,0.0017988379179568331,0.0017988379179568331
PC3,0.10815901618801121,stage_2_frames,0.3010839539748407,0.3010839539748407
PC3,0.10815901618801121,stage_3_frames,0.26333374641269736,0.26333374641269736
PC3,0.10815901618801121,stage_4_frames,0.11097018189641361,0.11097018189641361
PC3,0.10815901618801121,stage_5_frames,0.27576521737456344,0.27576521737456344
PC3,0.10815901618801121,roam_mean,-0.01077657185633718,0.01077657185633718
PC3,0.10815901618801121,roam_std_over_mean,-0.05066610226853327,0.05066610226853327
PC3,0.10815901618801121,roam_early_mean,-0.05815908608636923,0.05815908608636923
PC3,0.10815901618801121,roam_mid_mean,-0.057988467108121444,0.057988467108121444
PC3,0.10815901618801121,roam_late_mean,0.11136107594836976,0.11136107594836976
PC3,0.10815901618801121,roam_slope,0.15705772961439643,0.15705772961439643
PC3,0.10815901618801121,speed_1s_rows,0.34031007168344285,0.34031007168344285
PC3,0.10815901618801121,speed_1s_stage2_rows,0.2633337464126973,0.2633337464126973
PC3,0.10815901618801121,speed_1s_stage2_col1_mean,0.032218458835094894,0.032218458835094894
