pc,explained_variance_ratio,feature,loading,abs_loading
PC5,0.046854171828902454,roam_mid_mean,0.34744982548629233,0.34744982548629233
PC5,0.046854171828902454,roam_late_mean,0.04783345633662395,0.04783345633662395
PC5,0.046854171828902454,roam_slope,0.07819797056869465,0.07819797056869465
PC5,0.046854171828902454,speed_1s_rows,-0.04564125223420948,0.04564125223420948
PC5,0.046854171828902454,speed_1s_stage2_rows,-0.017369763513361093,0.017369763513361093
PC5,0.046854171828902454,speed_1s_stage2_col1_mean,-0.08838377260124314,0.08838377260124314
PC5,0.046854171828902454,speed_1s_stage2_col1_std_over_mean,-0.014254260479529005,0.014254260479529005
PC5,0.046854171828902454,speed_1s_stage2_col2_mean,0.08691224372550056,0.08691224372550056
PC5,0.046854171828902454,speed_1s_stage2_col2_std_over_mean,-0.08633332020240282,0.08633332020240282
PC5,0.046854171828902454,speed_1s_stage3_rows,-0.053917062493097245,0.053917062493097245
PC5,0.046854171828902454,speed_1s_stage3_col1_mean,0.27709380670451944,0.27709380670451944
PC5,0.046854171828902454,speed_1s_stage3_col1_std_over_mean,0.01172799118831786,0.01172799118831786
PC5,0.046854171828902454,speed_1s_stage3_col2_mean,-0.0721377112537908,0.0721377112537908
PC5,0.046854171828902454,speed_1s_stage3_col2_std_over_mean,0.06991489728384194,0.06991489728384194
PC5,0.046854171828902454,speed_1s_stage4_rows,-0.013805241183681644,0.013805241183681644
PC5,0.046854171828902454,speed_1s_stage4_col1_mean,0.2213326842775575,0.2213326842775575
PC5,0.046854171828902454,speed_1s_stage4_col1_std_over_mean,0.11753968468760932,0.11753968468760932
PC5,0.046854171828902454,speed_1s_stage4_col2_mean,-0.02959725026425745,0.02959725026425745
PC5,0.046854171828902454,speed_1s_stage4_col2_std_over_mean,0.0093124035435989,0.0093124035435989
PC5,0.046854171828902454,speed_1s_stage5_rows,-0.1309166810279933,0.1309166810279933
PC5,0.046854171828902454,speed_1s_stage5_col1_mean,-0.13286484312784272,0.13286484312784272
PC5,0.046854171828902454,speed_1s_stage5_col1_std_over_mean,0.34034112314461795,0.34034112314461795
PC5,0.046854171828902454,speed_1s_stage5_col2_mean,0.10790005897861961,0.10790005897861961
PC5,0.046854171828902454,speed_1s_stage5_col2_std_over_mean,-0.10845321284640398,0.10845321284640398
PC5,0.046854171828902454,speed_10s_avg_rows,-0.0456412522342094,0.0456412522342094
PC5,0.046854171828902454,speed_10s_avg_stage2_rows,-0.017369763513361062,0.017369763513361062
PC5,0.046854171828902454,speed_10s_avg_stage2_col1_mean,-0.08838057257696535,0.08838057257696535
PC5,0.046854171828902454,speed_10s_avg_stage2_col1_std_over_mean,-0.08434965467538766,0.08434965467538766
PC5,0.046854171828902454,speed_10s_avg_stage2_col2_mean,0.08691703993440746,0.08691703993440746
PC5,0.046854171828902454,speed_10s_avg_stage2_col2_std_over_mean,-0.09528184591623025,0.09528184591623025
PC5,0.046854171828902454,speed_10s_avg_stage3_rows,-0.05391706249309726,0.05391706249309726
PC5,0.046854171828902454,speed_10s_avg_stage3_col1_mean,0.27709562009532107,0.27709562009532107
PC5,0.046854171828902454,speed_10s_avg_stage3_col1_std_over_mean,0.17448209312390156,0.17448209312390156
PC5,0.046854171828902454,speed_10s_avg_stage3_col2_mean,-0.07211906008477241,0.07211906008477241
PC5,0.046854171828902454,speed_10s_avg_stage3_col2_std_over_mean,0.1954512909170719,0.1954512909170719
PC5,0.046854171828902454,speed_10s_avg_stage4_rows,-0.013805241183681642,0.013805241183681642
