dataset,run,seed,cv_mae_mean,cv_mae_std,cv_rmse_mean,cv_rmse_std,cv_r2_mean,cv_r2_std,test_mae,test_rmse,test_r2
SI216,14,55,2.711666666666667,0.43034974471675685,3.218290673014206,0.562042040332289,-0.365555593360398,0.2960173104650495,2.1345454545454543,2.6310365895124934,0.2112949361791172
SI216,15,56,2.6766666666666667,0.44677074347166273,3.2689021817592723,0.32119857734657964,-0.317063061746091,0.24928079786202353,2.0869696969696965,2.5172016288736265,0.27806705377694085
SI216,16,57,2.671166666666667,0.46892033201576766,3.1536749722399193,0.5395654141382761,-0.3825987648664959,0.2017346686354466,2.028181818181818,2.5202651375671494,0.27630875706214697
SI216,17,58,2.8249166666666667,0.4531541772215427,3.2525721224670194,0.46507153492214187,-0.5308445271524008,0.3937763279620526,2.100909090909091,2.571689104165752,0.24647479598242306
SI216,18,59,2.8016666666666667,0.287779212244387,3.2853008278057407,0.43730630472501486,-0.8711976817518525,1.3271908372302423,2.0221212121212124,2.5413698286673285,0.26413763339610796
SI216,19,60,2.7976666666666667,0.7621400152057218,3.2495747335643976,0.7478830463246724,-0.4619579602206551,0.2873176834565282,2.1490909090909085,2.650003239944655,0.19988269512450318
SI216,20,61,2.7740833333333335,0.4769030154141522,3.266300780640728,0.5359700855532856,-0.7276385572576346,0.8623633560369793,2.1390909090909087,2.5701654625822252,0.24736740949989555
SI216,21,62,2.8064999999999998,0.33256741171277343,3.308140671736255,0.32812051716127033,-0.3740518046667641,0.21186389375449272,2.095757575757576,2.5703908439980663,0.24723540489642182
SI216,22,63,2.5828333333333333,0.41959846877699636,3.0835360368904223,0.5097956652515012,-0.1777625269607411,0.1696822974488884,2.026969696969697,2.522947010177109,0.27476774429797035
SI216,23,64,2.8211666666666666,0.7329761630200232,3.2206466793680177,0.9041487525157358,-0.4974312975181624,0.5599324086067119,2.0936363636363637,2.559371174347482,0.25367600962544457
SI216,24,65,2.6734999999999998,0.47625438172379175,3.116834215660293,0.5375758601561466,-0.291475667365184,0.29063875851016663,2.1260606060606055,2.568570722319235,0.24830110901862323
SI216,25,66,2.8799166666666665,0.6097736032514219,3.372569765107508,0.6278686270359612,-1.3512442186119393,1.7941412563538093,2.1075757575757574,2.558444721689213,0.25421622724419324
SI216,26,67,2.8100833333333335,0.5921248460699258,3.284513107342055,0.583755116968689,-0.453831190685806,0.23007833250109658,2.004545454545455,2.526915115313532,0.2724846516007532
SI216,27,68,2.8346666666666662,0.6413974760023788,3.275932293129464,0.6058605906278886,-0.4516620814967802,0.04477043111372511,2.048181818181818,2.4761176437840318,0.3014405001046244
SI216,28,69,2.493583333333333,0.5060697964598251,3.021092605214475,0.685632128158286,-0.2396281551716107,0.3244779974932304,2.05969696969697,2.5171627044766263,0.27808938062356126
SI216,29,70,2.6245833333333333,0.5153937949654503,3.0861149815812725,0.5738768145145794,-0.2043282284068118,0.34195619471579125,2.111515151515152,2.5404541071838067,0.2646678384599288
SI216,30,71,2.836666666666667,0.5291150893499238,3.305166604734371,0.5337153251331693,-0.6007052522455208,0.45049334690115655,2.11939393939394,2.599728035504071,0.2299539652646998
SI216,31,72,2.64275,0.2751083877310903,3.0831556898379318,0.30489732879917564,-0.2807543080812494,0.2990377764816341,2.144242424242424,2.659531362986169,0.194118685917556
SI216,32,73,2.8431666666666664,0.3973423516873633,3.2744096324053458,0.5080172823940984,-0.3952136441699355,0.3486728285353051,2.147575757575758,2.6190207515347597,0.21848245448838677
SI216,33,74,2.613833333333333,0.47957282786061006,3.171398402549363,0.5416481587367433,-0.36459744042595704,0.517211797840112,2.1287878787878785,2.667445530196569,0.18931530654948747
SI216,34,75,2.8493333333333335,0.6017832643254731,3.373097645036304,0.7229934296193593,-0.5847790778508563,0.3225079105492739,2.015151515151515,2.4898265730039038,0.29368399246704335
SI216,35,76,2.625416666666667,0.8991239563535659,3.015019137257847,0.8973788322863502,-0.18371119145507225,0.36231210692454285,2.037272727272727,2.4985298707743153,0.2887374450721907
SI216,36,77,2.7325833333333334,0.7378489005209673,3.180235245180307,0.7025174230988149,-0.3469185168204133,0.29000487779360246,2.060909090909091,2.4907094036304867,0.2931830194601379
SI216,37,78,2.7064166666666667,0.6570143220999406,3.2027925344217314,0.624106680078885,-0.3978806646946381,0.3332170091231058,2.0124242424242422,2.553535279615777,0.2570756748273698
SI216,38,79,2.561583333333333,0.5656416833021493,3.0191677674130295,0.4993541862499355,-0.13944430870551816,0.14992521989005983,2.1072727272727274,2.567454424565745,0.24895434191253418
SI216,39,80,2.6540833333333333,0.5852347226161103,3.1141701536263664,0.6199548180996399,-0.6586128690161495,0.8014282569038296,2.1469696969696965,2.595510303846574,0.23245054404687204
SI216,40,81,2.697166666666667,0.20911393757683577,3.1652076858764326,0.35926587916949065,-0.33488638301160284,0.2498323748666082,2.0654545454545454,2.5002642284609067,0.2877496547394851
SI216,41,82,2.6631666666666662,0.4324462554918112,3.1486604249308288,0.46759642573836935,-0.3835887554280778,0.3542452388848216,2.096969696969697,2.5978561479913713,0.23106248169073018
SI216,42,83,2.569083333333333,0.3332749323839937,3.119877279211289,0.4394933148209179,-0.3930741844390262,0.483153195739061,2.1136363636363638,2.6072023397511823,0.22551978447373944
SI216,43,84,2.744416666666667,0.45396911605673507,3.2550009849499153,0.37269883459492353,-0.5723439442737456,0.4978696377542607,2.114242424242424,2.57856999756129,0.24243708934923636
SI216,44,85,2.762583333333333,0.43261169078054273,3.257410250562122,0.4050574219643068,-0.4467067680035951,0.21045402926019194,2.0393939393939395,2.498135466318992,0.2889619794936179
SI216,45,86,2.6384999999999996,0.9415295844174696,3.042324566123489,0.9699316189673556,-0.33510848344573363,0.3526264284500103,2.11,2.5611690433641567,0.2526271081816279
SI216,46,87,2.7497499999999997,0.22583250307350455,3.2841443190318103,0.38326989706121184,-0.520961499481018,0.5407147525235001,1.9951515151515151,2.4249611055924927,0.3300067796610169
SI216,47,88,2.7329999999999997,0.7693952080115335,3.092658843756405,0.8202029887789754,-0.4302804644618604,0.7348076242207946,2.0651515151515154,2.548980980785074,0.2597233626281651
SI216,48,89,2.8604166666666666,0.7194927804440509,3.2825212673381285,0.7803941073625688,-0.7730696489017937,0.6915960032899918,2.036969696969697,2.5131693540269433,0.28037811257585254
SI216,49,90,2.628166666666667,0.3793728926355527,3.188279419730692,0.26355878018121653,-1.9139691548233722,3.6033735435721765,2.0087878787878783,2.4785534637621343,0.30006544256120526
SI216,50,91,2.870916666666667,0.7012010232451177,3.321594643329597,0.7316327804330052,-4.4026804317538835,7.647856361867853,1.9378787878787882,2.4184286157951758,0.33361164469554305
SI216,51,92,2.92025,0.5030775150124593,3.406570819448679,0.5700935370354998,-0.7001549301335255,0.5889938870963833,2.102121212121212,2.562369681337645,0.2519262293366813
SI216,52,93,2.6355833333333334,0.34580236809162795,3.197587082588049,0.37223635612552114,-0.36510612957630284,0.2935590177027754,2.114848484848485,2.542772486714436,0.2633251203180583
SI216,53,94,2.7059166666666665,0.7824896786681739,3.0616941287405943,0.8500090887303863,-0.4470100465904235,0.39028029852260593,2.0193939393939395,2.5412058698041906,0.2642325800376647
SI216,54,95,2.85525,0.6387953941251892,3.306793766261567,0.46990216318846245,-0.7126938744562391,0.6970446382775962,2.046666666666667,2.5078877586728257,0.2833996024272861
SI216,55,96,2.6855,0.487739499573742,3.243253691433458,0.5567913470182172,-0.35938362930370593,0.17994941142687854,1.9663636363636365,2.4735450779246477,0.3028912847876125
SI216,56,97,2.754583333333333,0.7365631997474639,3.181694769888826,0.8334155307034098,-0.33363017924506705,0.33417327280139386,2.0442424242424244,2.5138075270052567,0.2800125967775685
SI216,57,98,2.9113333333333333,0.9230156041777168,3.2613299224837915,0.9646377691137507,-1.4937077087398187,1.9838218590932988,2.146969696969697,2.596265577612381,0.23200377694078256
SI216,58,99,2.647666666666667,0.5688905259850576,3.0990237155848783,0.6893239918920911,-0.22913736627601314,0.20777741219764606,2.026666666666667,2.457965817418127,0.3116449047917973
SI216,59,100,2.8408333333333333,0.8854701748537641,3.187406703227663,0.9766954815984957,-0.3573295388363628,0.31177387244045346,1.9839393939393941,2.4592384055543564,0.31093194182883466
SI216,60,101,2.7264166666666663,0.5661843290346742,3.1601785975979335,0.6844481622734587,-0.3176034357065313,0.25142077895433185,2.0554545454545456,2.5229285932956342,0.27477833228708926
SI216,61,102,2.5950833333333336,0.33560097420729995,3.164076080174682,0.25646215440917614,-0.2921735378182023,0.29079383416246246,2.0912121212121213,2.511735888129397,0.2811987968194185
SI216,62,103,2.6673333333333327,0.881446948047483,3.0978880767189496,0.9669723756311137,-0.2787477146511558,0.28300709307929167,2.1427272727272726,2.5789765803551226,0.24219816907302794
SI216,63,104,2.777416666666667,0.7199551201290261,3.2518047976306677,0.5987962483141149,-0.5404721986075778,0.27526665527037514,2.1321212121212123,2.589065975648868,0.23625727139568953
SI216,64,105,2.71875,0.5018603585106564,3.150565358450488,0.4879946264715255,-0.26927716047499184,0.11422503497436898,2.128787878787879,2.606624621841802,0.22586297342540285
SI216,65,106,2.6615833333333336,0.4440477795863363,3.138312115842183,0.42491451062059105,-0.403536870702397,0.2876166547647743,2.1136363636363638,2.600094209637393,0.22973702657459705
SI216,66,107,2.7339166666666666,0.17179376363018015,3.2297206517266064,0.227171767195367,-0.29390754870948116,0.27199380844455495,2.0566666666666666,2.5504519306399502,0.2588687277673154
SI216,67,108,2.8194166666666667,0.49552179288324155,3.3197584383233525,0.49697392069157853,-0.4818159964853123,0.24184734718690415,2.070909090909091,2.554973363635889,0.25623864825277265
SI216,68,109,2.716833333333333,0.5518982142468744,3.1260883158476513,0.6221902686555655,-0.32615570608669003,0.19910970673059747,2.0618181818181816,2.5678891225001412,0.24870000000000003
SI216,69,110,2.7085,0.39124787894348734,3.1858915067628057,0.36024339985157255,-0.4437948372558832,0.5403624109323563,2.0745454545454542,2.5301279562005305,0.2706334798074913
SI216,70,111,2.669583333333333,0.535908820499242,3.1537711259191332,0.5998705108298013,-0.31918157953502063,0.3648829290663971,2.0424242424242425,2.5427560010366865,0.2633346725256329
SI216,71,112,2.8400000000000003,0.7715005670769141,3.3197871748724834,0.6686373391682139,-1.606657508482757,1.54368744863493,2.0654545454545454,2.6122547248449464,0.2225152123875288
SI216,72,113,2.667666666666667,0.5420646358548438,3.120138302505221,0.5960227213378257,-0.24733458327981434,0.23568323561617482,2.0915151515151518,2.6106541616068477,0.22346767106089138
SI216,73,114,2.6598333333333337,0.24201219551456013,3.0722369508332203,0.24109151361049172,-0.27476130271165666,0.14925080525677065,2.0727272727272728,2.614458245830658,0.22120299225779438
SI216,74,115,2.6864166666666667,0.24228851029758336,3.168964180306522,0.3207779978960741,-0.3084486306999198,0.23930279691350964,2.097272727272727,2.518714398700699,0.27719906884285417
SI216,75,116,2.744416666666667,0.3519583703287144,3.2536570239706264,0.24380689838464903,-0.4088277240020437,0.1179216132505848,2.0460606060606064,2.5198685231053966,0.2765365139150451
SI216,76,117,2.809916666666667,0.5224382206964231,3.3845986210099666,0.474015010535517,-1.2166433894858213,1.8696060474623535,2.1775757575757577,2.5857019444349234,0.23824067796610193
SI216,77,118,2.728666666666667,0.430807655585542,3.267495617005257,0.4895237521944652,-0.4334333417959561,0.39553487928552894,2.0933333333333333,2.6242532367332716,0.2153565808746598
SI216,78,119,2.5483333333333333,0.47057426500913624,3.07740698557512,0.5089554887982813,-0.4149352685347708,0.469625252432461,2.0263636363636364,2.517714411641213,0.27777289181837195
SI216,79,120,2.91075,0.2824726387929752,3.4327509415133752,0.35523407961063386,-0.5717056321347782,0.3838790976432119,2.0769696969696967,2.5475002602075576,0.2605831763967359
SI216,80,121,2.825083333333333,0.6585557324765898,3.2805103002333547,0.7434889247150748,-0.841670369937664,0.9552412704035393,2.1206060606060606,2.5794255879238626,0.24193427495291908
SI216,81,122,2.6678333333333333,0.7063663571798668,3.1241159834841126,0.8316632528755489,-0.31861900562715084,0.307848356103966,1.9893939393939393,2.3808985232003854,0.35413369951872786
SI216,82,123,2.8103333333333333,0.8339437930700124,3.2506785266201335,0.7788543615919199,-0.4413949459890965,0.28154314083173715,2.1030303030303035,2.540133218490079,0.26485358861686537
SI216,83,124,2.7915,0.2756409953786507,3.2756356862600633,0.19417422248419577,-0.6095872946524565,0.5440380914465188,2.066666666666666,2.556030302850674,0.25562316384180805
SI216,84,125,2.73775,0.4383145274799822,3.1818048295490495,0.5128233115611703,-0.6014466246980394,0.9018694904667159,2.0521212121212127,2.5177639590587826,0.27774446536932385
SI216,85,126,2.787166666666667,0.5003283921585903,3.24467963733604,0.5061182843205063,-0.4329086085751278,0.4285298848771888,2.10030303030303,2.5748046900530515,0.24464790751203191
SI216,86,127,2.728583333333334,0.47009193840732416,3.200589867415821,0.46326654259083927,-0.6386508161950116,0.8394935375005609,2.0957575757575753,2.5762477608437675,0.2438009834693452
