feature,importance,dataset,run,seed
speed_1s_stage4_col2_mean,0.010922287264752443,Combined_shuffled,3,44
speed_1s_stage4_col2_std_over_mean,0.01861487300369221,Combined_shuffled,3,44
speed_1s_stage5_rows,0.0004607034218218608,Combined_shuffled,3,44
speed_1s_stage5_col1_mean,0.014766213881870632,Combined_shuffled,3,44
speed_1s_stage5_col1_std_over_mean,0.03027451300312577,Combined_shuffled,3,44
speed_1s_stage5_col2_mean,0.009216962987340418,Combined_shuffled,3,44
speed_1s_stage5_col2_std_over_mean,0.010253694894188736,Combined_shuffled,3,44
speed_10s_avg_rows,0.008670982695348679,Combined_shuffled,3,44
speed_10s_avg_stage2_rows,0.005102612801323022,Combined_shuffled,3,44
speed_10s_avg_stage2_col1_mean,0.03457173869265079,Combined_shuffled,3,44
speed_10s_avg_stage2_col1_std_over_mean,0.03663585949170838,Combined_shuffled,3,44
speed_10s_avg_stage2_col2_mean,0.010505682524310542,Combined_shuffled,3,44
speed_10s_avg_stage2_col2_std_over_mean,0.02296033595370117,Combined_shuffled,3,44
speed_10s_avg_stage3_rows,0.0203423913468459,Combined_shuffled,3,44
speed_10s_avg_stage3_col1_mean,0.010883784789491755,Combined_shuffled,3,44
speed_10s_avg_stage3_col1_std_over_mean,0.034615166989493094,Combined_shuffled,3,44
speed_10s_avg_stage3_col2_mean,0.013142228050020183,Combined_shuffled,3,44
speed_10s_avg_stage3_col2_std_over_mean,0.04955204439158272,Combined_shuffled,3,44
speed_10s_avg_stage4_rows,0.009452225122230587,Combined_shuffled,3,44
speed_10s_avg_stage4_col1_mean,0.01623899734633691,Combined_shuffled,3,44
speed_10s_avg_stage4_col1_std_over_mean,0.017807859756395712,Combined_shuffled,3,44
speed_10s_avg_stage4_col2_mean,0.011726883771888885,Combined_shuffled,3,44
speed_10s_avg_stage4_col2_std_over_mean,0.02961214072831577,Combined_shuffled,3,44
speed_10s_avg_stage5_rows,0.0009919449271372253,Combined_shuffled,3,44
speed_10s_avg_stage5_col1_mean,0.014825408012698719,Combined_shuffled,3,44
speed_10s_avg_stage5_col1_std_over_mean,0.016371536202203003,Combined_shuffled,3,44
speed_10s_avg_stage5_col2_mean,0.011335190469319925,Combined_shuffled,3,44
speed_10s_avg_stage5_col2_std_over_mean,0.029961946172896402,Combined_shuffled,3,44
stage_2_frames,0.0300266650814393,Combined_shuffled,4,45
stage_3_frames,0.005209701676413317,Combined_shuffled,4,45
stage_4_frames,0.01565976084822864,Combined_shuffled,4,45
stage_5_frames,0.010983617508420784,Combined_shuffled,4,45
roam_mean,0.02052483326844451,Combined_shuffled,4,45
roam_std_over_mean,0.013109665711538581,Combined_shuffled,4,45
roam_early_mean,0.02457020062187103,Combined_shuffled,4,45
