feature,importance,dataset,run,seed
speed_10s_avg_col3_p10,0.0,Combined,4,45
speed_10s_avg_col3_p90,0.0,Combined,4,45
stage_2_frames,0.02212443267502063,Combined,5,46
stage_3_frames,0.016930101163114854,Combined,5,46
stage_4_frames,0.0231605999794433,Combined,5,46
stage_5_frames,0.04113096917137157,Combined,5,46
roam_mean,0.025414426703605414,Combined,5,46
roam_std,0.015069542106789994,Combined,5,46
roam_median,0.01916785354127799,Combined,5,46
roam_p10,0.0,Combined,5,46
roam_p90,0.03786653201910384,Combined,5,46
roam_early_mean,0.016357131432409185,Combined,5,46
roam_mid_mean,0.0240387399960294,Combined,5,46
roam_late_mean,0.039902855758857,Combined,5,46
roam_slope,0.019698346458681282,Combined,5,46
speed_1s_rows,0.01301801871026589,Combined,5,46
speed_1s_col1_mean,0.013412129735859389,Combined,5,46
speed_1s_col1_std,0.020951989953517495,Combined,5,46
speed_1s_col1_median,0.02869192503771555,Combined,5,46
speed_1s_col1_p10,0.023753845435232505,Combined,5,46
speed_1s_col1_p90,0.012441922319317967,Combined,5,46
speed_1s_col2_mean,0.012984241252912357,Combined,5,46
speed_1s_col2_std,0.02763500675663619,Combined,5,46
speed_1s_col2_median,0.02842594174901294,Combined,5,46
speed_1s_col2_p10,0.0615705083996538,Combined,5,46
speed_1s_col2_p90,0.0188776709224391,Combined,5,46
speed_1s_col3_mean,0.026623759602825633,Combined,5,46
speed_1s_col3_std,0.023795529304110937,Combined,5,46
speed_1s_col3_median,0.0006638531789116743,Combined,5,46
speed_1s_col3_p10,0.0,Combined,5,46
speed_1s_col3_p90,0.0,Combined,5,46
speed_10s_avg_rows,0.011006613676555853,Combined,5,46
speed_10s_avg_col1_mean,0.01241806115332542,Combined,5,46
speed_10s_avg_col1_std,0.014779843228773808,Combined,5,46
speed_10s_avg_col1_median,0.034932648157146494,Combined,5,46
speed_10s_avg_col1_p10,0.017292847072708173,Combined,5,46
speed_10s_avg_col1_p90,0.01655844851706947,Combined,5,46
speed_10s_avg_col2_mean,0.018252104357084395,Combined,5,46
speed_10s_avg_col2_std,0.061629241029882126,Combined,5,46
speed_10s_avg_col2_median,0.027407081041063777,Combined,5,46
speed_10s_avg_col2_p10,0.033487337043157296,Combined,5,46
speed_10s_avg_col2_p90,0.09049691977533433,Combined,5,46
speed_10s_avg_col3_mean,0.022504075794879373,Combined,5,46
speed_10s_avg_col3_std,0.025050236564023262,Combined,5,46
speed_10s_avg_col3_median,0.000476669224880506,Combined,5,46
speed_10s_avg_col3_p10,0.0,Combined,5,46
speed_10s_avg_col3_p90,0.0,Combined,5,46
stage_2_frames,0.029670685177176206,Combined,6,47
stage_3_frames,0.02036880922023005,Combined,6,47
stage_4_frames,0.03903297058060973,Combined,6,47
stage_5_frames,0.027932572903540658,Combined,6,47
roam_mean,0.01875937138140103,Combined,6,47
roam_std,0.016435802430441383,Combined,6,47
roam_median,0.029335050245786407,Combined,6,47
roam_p10,0.0,Combined,6,47
roam_p90,0.032174472982298696,Combined,6,47
roam_early_mean,0.02094706998156563,Combined,6,47
roam_mid_mean,0.029301789008416332,Combined,6,47
roam_late_mean,0.034754981631114366,Combined,6,47
roam_slope,0.03992009622948353,Combined,6,47
speed_1s_rows,0.014541933055880321,Combined,6,47
speed_1s_col1_mean,0.01768115835108231,Combined,6,47
speed_1s_col1_std,0.03752257062821063,Combined,6,47
speed_1s_col1_median,0.010127137145716988,Combined,6,47
speed_1s_col1_p10,0.025436189038148718,Combined,6,47
speed_1s_col1_p90,0.031030086774733123,Combined,6,47
speed_1s_col2_mean,0.014879135758977235,Combined,6,47
speed_1s_col2_std,0.028625539068222842,Combined,6,47
speed_1s_col2_median,0.027581705719021583,Combined,6,47
speed_1s_col2_p10,0.041389409465199256,Combined,6,47
speed_1s_col2_p90,0.025081950914198656,Combined,6,47
speed_1s_col3_mean,0.01870810863002393,Combined,6,47
speed_1s_col3_std,0.03125007607482173,Combined,6,47
speed_1s_col3_median,0.0016553954897341112,Combined,6,47
speed_1s_col3_p10,0.0,Combined,6,47
speed_1s_col3_p90,0.0,Combined,6,47
speed_10s_avg_rows,0.013963010561068238,Combined,6,47
speed_10s_avg_col1_mean,0.016125043043578348,Combined,6,47
speed_10s_avg_col1_std,0.025512827594200257,Combined,6,47
speed_10s_avg_col1_median,0.03431029489099454,Combined,6,47
speed_10s_avg_col1_p10,0.013655258825728942,Combined,6,47
speed_10s_avg_col1_p90,0.021862651484116386,Combined,6,47
speed_10s_avg_col2_mean,0.017098588966243774,Combined,6,47
speed_10s_avg_col2_std,0.05507042587099975,Combined,6,47
speed_10s_avg_col2_median,0.03515770198375932,Combined,6,47
speed_10s_avg_col2_p10,0.01946119564695184,Combined,6,47
speed_10s_avg_col2_p90,0.031157252142140778,Combined,6,47
speed_10s_avg_col3_mean,0.022801859145355503,Combined,6,47
speed_10s_avg_col3_std,0.028477629912532616,Combined,6,47
speed_10s_avg_col3_median,0.0012021920462944031,Combined,6,47
speed_10s_avg_col3_p10,0.0,Combined,6,47
speed_10s_avg_col3_p90,0.0,Combined,6,47
stage_2_frames,0.035792533089436404,Combined,7,48
stage_3_frames,0.023987657212234295,Combined,7,48
stage_4_frames,0.030294835080513404,Combined,7,48
stage_5_frames,0.019918134125513052,Combined,7,48
roam_mean,0.018378224922348634,Combined,7,48
roam_std,0.013581308072068058,Combined,7,48
roam_median,0.023820470839859383,Combined,7,48
roam_p10,0.0,Combined,7,48
roam_p90,0.01700919385400766,Combined,7,48
roam_early_mean,0.018940076556641896,Combined,7,48
roam_mid_mean,0.04440563761312535,Combined,7,48
roam_late_mean,0.03148618477143467,Combined,7,48
roam_slope,0.022242986711672876,Combined,7,48
speed_1s_rows,0.014662423630473738,Combined,7,48
speed_1s_col1_mean,0.014665831743798213,Combined,7,48
speed_1s_col1_std,0.04101241984373262,Combined,7,48
speed_1s_col1_median,0.026345562146463122,Combined,7,48
speed_1s_col1_p10,0.03618229451855275,Combined,7,48
speed_1s_col1_p90,0.02516698014156059,Combined,7,48
speed_1s_col2_mean,0.03210421448369932,Combined,7,48
speed_1s_col2_std,0.03488377640071477,Combined,7,48
speed_1s_col2_median,0.03277487369063135,Combined,7,48
speed_1s_col2_p10,0.055674671336685876,Combined,7,48
speed_1s_col2_p90,0.018293363402098924,Combined,7,48
speed_1s_col3_mean,0.021368702133554282,Combined,7,48
speed_1s_col3_std,0.01135310243632717,Combined,7,48
speed_1s_col3_median,2.0874562408401738e-05,Combined,7,48
speed_1s_col3_p10,0.0,Combined,7,48
speed_1s_col3_p90,0.0,Combined,7,48
speed_10s_avg_rows,0.015049777733750658,Combined,7,48
speed_10s_avg_col1_mean,0.012899209782531201,Combined,7,48
speed_10s_avg_col1_std,0.03278707652515714,Combined,7,48
speed_10s_avg_col1_median,0.030216914812132067,Combined,7,48
speed_10s_avg_col1_p10,0.034598933754263185,Combined,7,48
speed_10s_avg_col1_p90,0.021752653094946527,Combined,7,48
speed_10s_avg_col2_mean,0.03395597672035832,Combined,7,48
speed_10s_avg_col2_std,0.0364440893549664,Combined,7,48
speed_10s_avg_col2_median,0.024945045920146156,Combined,7,48
speed_10s_avg_col2_p10,0.016808364566719122,Combined,7,48
speed_10s_avg_col2_p90,0.036053299900082644,Combined,7,48
speed_10s_avg_col3_mean,0.024660175821319682,Combined,7,48
speed_10s_avg_col3_std,0.015435997427450486,Combined,7,48
speed_10s_avg_col3_median,2.6151266619641513e-05,Combined,7,48
speed_10s_avg_col3_p10,0.0,Combined,7,48
speed_10s_avg_col3_p90,0.0,Combined,7,48
stage_2_frames,0.04056078234391196,Combined,8,49
stage_3_frames,0.033289456895315685,Combined,8,49
stage_4_frames,0.03620881995698523,Combined,8,49
stage_5_frames,0.04130739984360846,Combined,8,49
roam_mean,0.024668058120396328,Combined,8,49
roam_std,0.015966937646786646,Combined,8,49
roam_median,0.025487450311384767,Combined,8,49
roam_p10,0.0,Combined,8,49
roam_p90,0.0407013850087623,Combined,8,49
roam_early_mean,0.02120887007381692,Combined,8,49
roam_mid_mean,0.020211518593502644,Combined,8,49
roam_late_mean,0.026869534941409305,Combined,8,49
roam_slope,0.025415828720441194,Combined,8,49
speed_1s_rows,0.014911614610911433,Combined,8,49
speed_1s_col1_mean,0.009405522247665324,Combined,8,49
speed_1s_col1_std,0.04710384036372267,Combined,8,49
speed_1s_col1_median,0.02143269195902594,Combined,8,49
speed_1s_col1_p10,0.020780827505738918,Combined,8,49
speed_1s_col1_p90,0.01671276183773713,Combined,8,49
speed_1s_col2_mean,0.016446199861410424,Combined,8,49
speed_1s_col2_std,0.028936758429639445,Combined,8,49
speed_1s_col2_median,0.037704548998229725,Combined,8,49
speed_1s_col2_p10,0.049038564884684235,Combined,8,49
speed_1s_col2_p90,0.019059437059675204,Combined,8,49
speed_1s_col3_mean,0.016020151806603898,Combined,8,49
speed_1s_col3_std,0.01730573646500656,Combined,8,49
speed_1s_col3_median,9.329952704683527e-05,Combined,8,49
speed_1s_col3_p10,0.0,Combined,8,49
speed_1s_col3_p90,0.0,Combined,8,49
speed_10s_avg_rows,0.01714958966046363,Combined,8,49
speed_10s_avg_col1_mean,0.012113040187987336,Combined,8,49
speed_10s_avg_col1_std,0.02435237652508864,Combined,8,49
speed_10s_avg_col1_median,0.026791755380373587,Combined,8,49
speed_10s_avg_col1_p10,0.020736460933008346,Combined,8,49
speed_10s_avg_col1_p90,0.021959856504124554,Combined,8,49
speed_10s_avg_col2_mean,0.018263299926121763,Combined,8,49
speed_10s_avg_col2_std,0.04670348411359519,Combined,8,49
speed_10s_avg_col2_median,0.023274309901953283,Combined,8,49
speed_10s_avg_col2_p10,0.0459701718239552,Combined,8,49
speed_10s_avg_col2_p90,0.044592160734774525,Combined,8,49
speed_10s_avg_col3_mean,0.01636302037933655,Combined,8,49
speed_10s_avg_col3_std,0.014879360203858013,Combined,8,49
speed_10s_avg_col3_median,3.1157119401783472e-06,Combined,8,49
speed_10s_avg_col3_p10,0.0,Combined,8,49
speed_10s_avg_col3_p90,0.0,Combined,8,49
stage_2_frames,0.021845358377326502,Combined,9,50
stage_3_frames,0.01868114733808727,Combined,9,50
stage_4_frames,0.022254850120375817,Combined,9,50
stage_5_frames,0.032872540762243,Combined,9,50
roam_mean,0.021468580358964776,Combined,9,50
roam_std,0.01851623840503045,Combined,9,50
roam_median,0.024306597094378848,Combined,9,50
roam_p10,0.0,Combined,9,50
roam_p90,0.02086886719549289,Combined,9,50
roam_early_mean,0.017360925508835338,Combined,9,50
roam_mid_mean,0.025526515566648207,Combined,9,50
roam_late_mean,0.0347700865732045,Combined,9,50
roam_slope,0.025312825849292123,Combined,9,50
speed_1s_rows,0.016283225372831892,Combined,9,50
speed_1s_col1_mean,0.014203362669077861,Combined,9,50
speed_1s_col1_std,0.05488529234344887,Combined,9,50
speed_1s_col1_median,0.015134555639643563,Combined,9,50
speed_1s_col1_p10,0.03361110551239357,Combined,9,50
speed_1s_col1_p90,0.03150432784301087,Combined,9,50
speed_1s_col2_mean,0.017069462041195485,Combined,9,50
speed_1s_col2_std,0.031000809563291362,Combined,9,50
speed_1s_col2_median,0.029223029448230596,Combined,9,50
speed_1s_col2_p10,0.07504379441576195,Combined,9,50
speed_1s_col2_p90,0.023349880761524833,Combined,9,50
speed_1s_col3_mean,0.012914592618754673,Combined,9,50
speed_1s_col3_std,0.025944785998371182,Combined,9,50
speed_1s_col3_median,0.0003265686735335754,Combined,9,50
speed_1s_col3_p10,0.0,Combined,9,50
speed_1s_col3_p90,0.0,Combined,9,50
speed_10s_avg_rows,0.020751712046579163,Combined,9,50
speed_10s_avg_col1_mean,0.013726969821824727,Combined,9,50
speed_10s_avg_col1_std,0.029296029522855538,Combined,9,50
speed_10s_avg_col1_median,0.02891190846962244,Combined,9,50
speed_10s_avg_col1_p10,0.02947480175176736,Combined,9,50
speed_10s_avg_col1_p90,0.017328233335081093,Combined,9,50
speed_10s_avg_col2_mean,0.013938769624706703,Combined,9,50
speed_10s_avg_col2_std,0.05706778364992983,Combined,9,50
speed_10s_avg_col2_median,0.02894189897093008,Combined,9,50
speed_10s_avg_col2_p10,0.021611129355823586,Combined,9,50
speed_10s_avg_col2_p90,0.031284214981610645,Combined,9,50
speed_10s_avg_col3_mean,0.015603928488527648,Combined,9,50
speed_10s_avg_col3_std,0.027511424115715274,Combined,9,50
speed_10s_avg_col3_median,0.00027186981407595454,Combined,9,50
speed_10s_avg_col3_p10,0.0,Combined,9,50
speed_10s_avg_col3_p90,0.0,Combined,9,50
stage_2_frames,0.04385275040441879,Combined,10,51
stage_3_frames,0.020518272845194883,Combined,10,51
stage_4_frames,0.02412097776036068,Combined,10,51
stage_5_frames,0.027313428469122044,Combined,10,51
roam_mean,0.02294771196278747,Combined,10,51
roam_std,0.011516722271366351,Combined,10,51
roam_median,0.020781847395087427,Combined,10,51
roam_p10,0.0,Combined,10,51
roam_p90,0.02152718777376074,Combined,10,51
roam_early_mean,0.01442109025991566,Combined,10,51
roam_mid_mean,0.020276685033495775,Combined,10,51
roam_late_mean,0.0325772352161412,Combined,10,51
roam_slope,0.019811967668600328,Combined,10,51
speed_1s_rows,0.021048840199799534,Combined,10,51
speed_1s_col1_mean,0.006196901726064704,Combined,10,51
speed_1s_col1_std,0.03432953715887252,Combined,10,51
speed_1s_col1_median,0.02020131612186819,Combined,10,51
speed_1s_col1_p10,0.03676130269474037,Combined,10,51
speed_1s_col1_p90,0.01655795190348093,Combined,10,51
speed_1s_col2_mean,0.014799720343048915,Combined,10,51
speed_1s_col2_std,0.04278302682846385,Combined,10,51
speed_1s_col2_median,0.021237869344157015,Combined,10,51
speed_1s_col2_p10,0.07079935390349701,Combined,10,51
speed_1s_col2_p90,0.021576211820943464,Combined,10,51
speed_1s_col3_mean,0.024568393224300177,Combined,10,51
speed_1s_col3_std,0.025057995096861192,Combined,10,51
speed_1s_col3_median,0.0003286309225159449,Combined,10,51
speed_1s_col3_p10,0.0,Combined,10,51
speed_1s_col3_p90,0.0,Combined,10,51
speed_10s_avg_rows,0.02603223915070469,Combined,10,51
speed_10s_avg_col1_mean,0.010198718367328632,Combined,10,51
speed_10s_avg_col1_std,0.027497210904627676,Combined,10,51
speed_10s_avg_col1_median,0.03136914753340603,Combined,10,51
speed_10s_avg_col1_p10,0.025812477417268363,Combined,10,51
speed_10s_avg_col1_p90,0.016200604085628303,Combined,10,51
speed_10s_avg_col2_mean,0.01605197096069185,Combined,10,51
speed_10s_avg_col2_std,0.06595255759041199,Combined,10,51
speed_10s_avg_col2_median,0.029068894584284223,Combined,10,51
speed_10s_avg_col2_p10,0.021454152328991213,Combined,10,51
speed_10s_avg_col2_p90,0.03223152033046936,Combined,10,51
speed_10s_avg_col3_mean,0.03076144060525543,Combined,10,51
speed_10s_avg_col3_std,0.03125751456230331,Combined,10,51
speed_10s_avg_col3_median,0.00019862322976364183,Combined,10,51
speed_10s_avg_col3_p10,0.0,Combined,10,51
speed_10s_avg_col3_p90,0.0,Combined,10,51
stage_2_frames,0.03118958895477672,Combined,11,52
stage_3_frames,0.02829749206055929,Combined,11,52
stage_4_frames,0.02853159067854401,Combined,11,52
stage_5_frames,0.017464993724989126,Combined,11,52
roam_mean,0.0179420123063548,Combined,11,52
roam_std,0.015907917141742,Combined,11,52
roam_median,0.01960213644136167,Combined,11,52
roam_p10,0.0,Combined,11,52
roam_p90,0.021199857624050886,Combined,11,52
roam_early_mean,0.02189240661522985,Combined,11,52
roam_mid_mean,0.039773050857952665,Combined,11,52
roam_late_mean,0.02631019326390093,Combined,11,52
roam_slope,0.033165566452075815,Combined,11,52
speed_1s_rows,0.02519873981383466,Combined,11,52
speed_1s_col1_mean,0.013417840147559272,Combined,11,52
speed_1s_col1_std,0.025086816937937784,Combined,11,52
speed_1s_col1_median,0.02028764387593694,Combined,11,52
speed_1s_col1_p10,0.030298485616289807,Combined,11,52
speed_1s_col1_p90,0.02212056581583363,Combined,11,52
speed_1s_col2_mean,0.010221253676751299,Combined,11,52
speed_1s_col2_std,0.03312823980152548,Combined,11,52
speed_1s_col2_median,0.022246508767574065,Combined,11,52
speed_1s_col2_p10,0.1093535450767962,Combined,11,52
speed_1s_col2_p90,0.027315174559472123,Combined,11,52
speed_1s_col3_mean,0.03022643650176904,Combined,11,52
speed_1s_col3_std,0.01810821363893354,Combined,11,52
speed_1s_col3_median,0.00022157182832212438,Combined,11,52
speed_1s_col3_p10,0.0,Combined,11,52
speed_1s_col3_p90,0.0,Combined,11,52
speed_10s_avg_rows,0.021296260855976065,Combined,11,52
speed_10s_avg_col1_mean,0.011230319594556535,Combined,11,52
speed_10s_avg_col1_std,0.02355885224155069,Combined,11,52
speed_10s_avg_col1_median,0.03455673759777778,Combined,11,52
speed_10s_avg_col1_p10,0.017710123809726357,Combined,11,52
speed_10s_avg_col1_p90,0.017109826073276695,Combined,11,52
speed_10s_avg_col2_mean,0.012553965793742213,Combined,11,52
speed_10s_avg_col2_std,0.03868478267677068,Combined,11,52
speed_10s_avg_col2_median,0.051154105661092845,Combined,11,52
speed_10s_avg_col2_p10,0.015571186008194397,Combined,11,52
speed_10s_avg_col2_p90,0.02085595332568939,Combined,11,52
speed_10s_avg_col3_mean,0.030952296654609458,Combined,11,52
speed_10s_avg_col3_std,0.016002585289150793,Combined,11,52
speed_10s_avg_col3_median,0.0002551622378125783,Combined,11,52
speed_10s_avg_col3_p10,0.0,Combined,11,52
speed_10s_avg_col3_p90,0.0,Combined,11,52
stage_2_frames,0.03849077749226741,Combined,12,53
stage_3_frames,0.0173168725680467,Combined,12,53
stage_4_frames,0.017364008603068748,Combined,12,53
stage_5_frames,0.023429685872506965,Combined,12,53
roam_mean,0.017651380623971556,Combined,12,53
roam_std,0.014316618895735172,Combined,12,53
roam_median,0.026186980613766474,Combined,12,53
roam_p10,0.0,Combined,12,53
roam_p90,0.017208547040703872,Combined,12,53
roam_early_mean,0.023067790943027213,Combined,12,53
