feature,importance,dataset,run,seed
speed_1s_col2_std,0.08178161515476548,SI206,4,45
speed_1s_col2_median,0.009174083668578999,SI206,4,45
speed_1s_col2_p10,0.03747238014083621,SI206,4,45
speed_1s_col2_p90,0.014369007475092937,SI206,4,45
speed_1s_col3_mean,0.022138781293143155,SI206,4,45
speed_1s_col3_std,0.027059047020302995,SI206,4,45
speed_1s_col3_median,0.0020032656961244517,SI206,4,45
speed_1s_col3_p10,0.0,SI206,4,45
speed_1s_col3_p90,0.0,SI206,4,45
speed_10s_avg_rows,0.030071831804831108,SI206,4,45
speed_10s_avg_col1_mean,0.02027804593567461,SI206,4,45
speed_10s_avg_col1_std,0.02395644265077217,SI206,4,45
speed_10s_avg_col1_median,0.01099551542723025,SI206,4,45
speed_10s_avg_col1_p10,0.022086596413532503,SI206,4,45
speed_10s_avg_col1_p90,0.02261382520058947,SI206,4,45
speed_10s_avg_col2_mean,0.004834087979361039,SI206,4,45
speed_10s_avg_col2_std,0.03834104598971046,SI206,4,45
speed_10s_avg_col2_median,0.011638968475047945,SI206,4,45
speed_10s_avg_col2_p10,0.006568196389773492,SI206,4,45
speed_10s_avg_col2_p90,0.027178472224868643,SI206,4,45
speed_10s_avg_col3_mean,0.023673532672030224,SI206,4,45
speed_10s_avg_col3_std,0.021083300597327246,SI206,4,45
speed_10s_avg_col3_median,0.00032872051659623824,SI206,4,45
speed_10s_avg_col3_p10,0.0,SI206,4,45
speed_10s_avg_col3_p90,0.0,SI206,4,45
stage_2_frames,0.03242309194784724,SI206,5,46
stage_3_frames,0.029165970030171854,SI206,5,46
stage_4_frames,0.04982676735166537,SI206,5,46
stage_5_frames,0.03723476956400632,SI206,5,46
roam_mean,0.010853299178309536,SI206,5,46
roam_std,0.04787138996218899,SI206,5,46
roam_median,0.012893045889645476,SI206,5,46
roam_p10,0.0,SI206,5,46
roam_p90,0.027886439167165714,SI206,5,46
roam_early_mean,0.033897702650740665,SI206,5,46
roam_mid_mean,0.02663940733950118,SI206,5,46
roam_late_mean,0.03215558603282464,SI206,5,46
roam_slope,0.04702072022614373,SI206,5,46
speed_1s_rows,0.022533564801671235,SI206,5,46
speed_1s_col1_mean,0.01895961833223353,SI206,5,46
speed_1s_col1_std,0.029298418263114866,SI206,5,46
speed_1s_col1_median,0.020580808276096676,SI206,5,46
