worm_id,cam_id,well_id,recording_id,timestamp,experiment_id,stage_2_frames,stage_3_frames,stage_4_frames,stage_5_frames,roam_mean,roam_std,roam_median,roam_p10,roam_p90,roam_early_mean,roam_mid_mean,roam_late_mean,roam_slope,speed_1s_rows,speed_1s_col1_mean,speed_1s_col1_std,speed_1s_col1_median,speed_1s_col1_p10,speed_1s_col1_p90,speed_1s_col2_mean,speed_1s_col2_std,speed_1s_col2_median,speed_1s_col2_p10,speed_1s_col2_p90,speed_1s_col3_mean,speed_1s_col3_std,speed_1s_col3_median,speed_1s_col3_p10,speed_1s_col3_p90,speed_10s_avg_rows,speed_10s_avg_col1_mean,speed_10s_avg_col1_std,speed_10s_avg_col1_median,speed_10s_avg_col1_p10,speed_10s_avg_col1_p90,speed_10s_avg_col2_mean,speed_10s_avg_col2_std,speed_10s_avg_col2_median,speed_10s_avg_col2_p10,speed_10s_avg_col2_p90,speed_10s_avg_col3_mean,speed_10s_avg_col3_std,speed_10s_avg_col3_median,speed_10s_avg_col3_p10,speed_10s_avg_col3_p90,days_alive
cam229_w1,229,1,CAM229_2025-12-04-145148,2025-12-04-145148,SI216_2025-04-12,117720,93960,97200,111240,0.12556500386681382,0.19255644765902402,0.03386886669561442,0.0,0.3920968769917145,0.1856180579726589,0.09133552632415998,0.09974142730362255,-0.0002520127431741623,592890,1.450425202663958,1.9190626397464674,0.7606131873119526,0.19699683788379824,3.579042761815442,64.93505492231075,61.17919131902784,38.07912576330867,3.854111630385019,164.02897659057163,3.2149471234124376,1.503271148905179,3.0,1.0,5.0,592890,1.4503517099834435,1.3917430311163226,0.9874948865480502,0.39748550127777577,3.1178027046004333,64.93293026800872,31.137493756001998,64.26831512190938,22.171197651052164,107.2370334623377,3.214795324596468,1.5033769918261002,3.0,1.0,5.0,9.0
cam229_w2,229,2,CAM229_2025-12-04-145148,2025-12-04-145148,SI216_2025-04-12,126360,92880,92880,114480,0.1198920752964043,0.1919503267977122,0.024390243902439025,0.0,0.3940005354987107,0.14022479994465328,0.097497527249859,0.12195389869470066,-4.079460104396793e-05,599370,1.418222018290041,2.042741035694844,0.7457177460040318,0.1913125642080035,3.4487648181144865,64.93311734077771,61.093753113121416,38.41155362514538,3.8454931031089323,163.9873717479438,3.191000550578107,1.5185118593972788,3.0,1.0,5.0,599370,1.418153387967798,1.395483502583475,0.9526300223249521,0.3887333484777913,2.993004184255617,64.9292712334453,31.396167687199963,64.67751701873675,21.24016433463616,107.27991778922257,3.1908503929125582,1.5186131395955853,3.0,1.0,5.0,9.0
cam231_w1,231,1,CAM231_2025-12-04-134115,2025-12-04-134115,SI216_2025-04-12,130680,101520,96120,112320,0.08218323031295381,0.16151131976146105,0.007352941176470588,0.0,0.26880385722759237,0.15205695214868856,0.045073395037197754,0.04941934375297508,-0.0003168410304166222,613410,1.5477826549780083,1.714110846447054,1.0504951918660619,0.2895800442032705,3.4088774153744317,73.60219546188554,61.815349506265825,54.40029433047105,5.255965441167649,167.76093011967248,3.154937154594806,1.517720422922481,3.0,1.0,5.0,613410,1.5477102010010644,1.1717570796388554,1.1803646814788373,0.6766347403177823,2.8329991431509103,73.59826821925813,28.749318152146582,74.76936258174385,34.5318843636673,110.15731174665149,3.15479043380447,1.5178159507275952,3.0,1.0,5.0,8.0
cam231_w6,231,6,CAM231_2025-12-04-134115,2025-12-04-134115,SI216_2025-04-12,167400,89640,93960,113400,0.07251548464677313,0.15136546166766315,0.0039079461571862786,0.0,0.22658816429564976,0.11482101056758008,0.05786926326789474,0.044856180104844524,-0.00014926821182189987,637170,1.5002401175009223,1.694668913799554,1.040051933568068,0.276311653110504,3.253784560093669,78.17265281831574,62.901335872028014,61.817720289467275,6.003580850670761,170.40092048501222,3.0542398418004613,1.5656681368158214,3.0,1.0,5.0,637170,1.5001774200382803,1.1466217026905332,1.127560559315571,0.6662652595045887,2.7704448458094646,78.16737521004022,29.42743575550751,80.39575932460082,37.85489140847512,114.67049605166079,3.0540985922124393,1.5657482024193847,3.0,1.0,5.0,6.0
cam241_w1,241,1,CAM241_2025-12-04-134142,2025-12-04-134142,SI216_2025-04-12,126360,87480,101520,109080,0.08155629735357853,0.14554929640888425,0.011724137931034483,0.0,0.2521243977222952,0.09462226198188194,0.08267866234130322,0.0673679677375504,-1.72867642352879e-05,597210,1.4886504487084424,1.8436025685906061,0.8771111234179254,0.24840362302998253,3.383649521296034,69.87517909937706,61.04432094772691,48.112184503830946,4.682699330629199,165.1256022371137,3.1916913648465366,1.5152563134569743,3.0,1.0,5.0,597210,1.488618717328435,1.3675434201042562,1.0523829829780502,0.5265317349349773,2.8768622769087884,69.87081954617832,29.924991557703642,70.2710125338354,29.34547074254746,108.84790556939808,3.1915406640880093,1.515358247002852,3.0,1.0,5.0,4.0
cam245_w3,245,3,CAM245_2025-12-04-145116,2025-12-04-145116,SI216_2025-04-12,139320,100440,96120,116640,0.061434998251353796,0.10263446089088134,0.016192560175054705,0.0,0.17417399667708525,0.07457445115126624,0.05216993826656875,0.057560605336226395,-2.21393432496269e-05,625290,1.1832381667666734,1.4371891755809774,0.6470095566750705,0.1507745681801054,2.9018030993838737,65.45381889835959,63.55259887209,34.763688540455504,3.3050709698841856,167.1161675772165,3.1329942906491386,1.5251311537197918,3.0,1.0,5.0,625290,1.183220109298318,0.986831002404671,0.892006972909158,0.321220513289422,2.408134045806778,65.44872058089753,30.166195547979967,62.453643341553175,27.463691140646997,109.995740662535,3.1328503574341506,1.5252223407140335,3.0,1.0,5.0,9.0
cam302_w3,302,3,CAM302_2025-12-04-140405,2025-12-04-140405,SI216_2025-04-12,111240,86400,96120,110160,0.09396428308566719,0.17796870312542856,0.008097165991902834,0.0,0.3393386665442401,0.16837279878871664,0.04524805691636645,0.0682719935519185,-0.0003488643762958085,576690,1.168848824190619,1.4960302353700132,0.6411300929736374,0.12426767804046503,2.8710486887274818,64.87697135211391,63.36970528163463,35.447723252047346,2.116271342813453,166.06243415224787,3.254694896738282,1.4986687773232859,3.0,1.0,5.0,576690,1.1688072179031224,1.1029628422855287,0.850016369935138,0.328177787065381,2.3599937515860385,64.87282406087822,33.90220070988898,64.815282977865,15.623792286038029,111.37500586592056,3.25453883368881,1.4987820661373663,3.0,1.0,5.0,6.0
cam302_w4,302,4,CAM302_2025-12-04-140405,2025-12-04-140405,SI216_2025-04-12,132840,93960,91800,109080,0.09835557401379477,0.17780818451211786,0.017170891251022075,0.0,0.3687005649717515,0.1437161373258625,0.09210225990373053,0.05924832481179129,-0.0002741073306950805,600450,1.2849592891366517,6.983607232952304,0.6567545460495914,0.1561352658940082,3.0419910879459486,66.60975000991476,63.17651572857955,37.92824857090469,3.4723157069396744,166.79924779124377,3.158281289033225,1.5326664490306257,3.0,1.0,5.0,600450,1.2849039031159175,2.4278445228978,0.8719732221003916,0.3529432410990981,2.5489843591113623,66.60693659476354,31.278251826241927,65.38109152862665,24.833863171689334,110.76261525469373,3.1581314014489132,1.5327634138895967,3.0,1.0,5.0,6.0
cam304_w1,304,1,CAM304_2025-12-04-142235,2025-12-04-142235,SI216_2025-04-12,180360,91800,90720,113400,0.1052276689614146,0.18205070617874242,0.025376344086021504,0.0,0.32917575228957696,0.16561961965552713,0.05386998879542202,0.09619339843329468,-0.000179229207744631,649050,2.672863590624431,24.44491372588932,0.6849988436760017,0.16909350932310194,3.4877949130275665,68.7020525300814,63.05385158615519,42.9356766453695,3.8103720399447414,167.41348952210063,3.009983822509822,1.5787449341505364,3.0,1.0,5.0,649050,2.672730209035027,9.503928503486753,0.9622369812517885,0.3305942243675512,3.63346940213346,68.69792529351857,31.926588326444673,66.61117951255426,26.78363553573332,112.37838220346029,3.0098451583082966,1.5788189964901966,3.0,1.0,5.0,6.0
cam304_w4,304,4,CAM304_2025-12-04-142235,2025-12-04-142235,SI216_2025-04-12,200880,103680,92880,109080,0.1114645827685913,0.1725473187707375,0.03130841121495327,0.0,0.33430481471262335,0.15304401170472548,0.0776604191365387,0.10368931746450966,-0.00030528013253931286,679290,7.826271869229933,50.95259861850383,0.6430907592524726,0.15685798596020303,3.7943924885595983,66.85924901309299,61.682498773229405,41.65400609146704,3.576964333971105,164.5960947688187,2.9252749194011396,1.5836515887436147,3.0,1.0,5.0,679290,7.822605214954715,25.998382310241375,0.9607194249937214,0.32812275536148716,4.677371283557669,66.85490468833937,30.281294370876417,66.32071446660265,26.06801806711,107.64666933651041,2.9251424281234817,1.5837150485265745,3.0,1.0,5.0,3.0
